Age,Attrition,BusinessTravel,DailyRate,Department,DistanceFromHome,Education,EducationField,EmployeeCount,EmployeeNumber,EnvironmentSatisfaction,Gender,HourlyRate,JobInvolvement,JobLevel,JobRole,JobSatisfaction,MaritalStatus,MonthlyIncome,MonthlyRate,NumCompaniesWorked,Over18,OverTime,PercentSalaryHike,PerformanceRating,RelationshipSatisfaction,StandardHours,StockOptionLevel,TotalWorkingYears,TrainingTimesLastYear,WorkLifeBalance,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager,TenureBand,SalaryBand,tenure_risk_score,overtime_flag,salary_gap,manager_tenure_ratio,RecruitmentCost,TrainingCost,ProductivityLoss,TotalAttritionCost,Attrition_Probability,Risk_Level
35,0,2,809,1,16,3,3,1,14,1,1,84,4,1,2,2,1,2426,16479,0,0,0,13,3,3,80,1,6,5,3,5,4,0,3,2,3,0,0,-460.0,0.5,2426,4852,3639.0,10917.0,0.2569045823656188,Low Risk
29,0,2,153,1,15,2,1,1,15,4,0,49,2,2,2,3,2,4193,12682,0,0,1,12,3,4,80,0,10,3,3,9,5,0,8,3,1,0,1,1307.0,0.8,4193,8386,6289.5,18868.5,0.3135472232177293,Low Risk
31,0,2,670,1,26,1,1,1,16,1,1,31,3,1,6,3,0,2911,15170,1,0,0,17,3,4,80,1,5,1,2,5,2,4,3,2,3,0,0,23.5,0.5,2911,5822,4366.5,13099.5,0.8143478642241787,High Risk
34,0,2,1346,1,19,2,3,1,18,2,1,93,3,1,2,4,0,2661,8758,0,0,0,11,3,3,80,1,3,2,3,2,2,1,2,0,3,0,0,-225.0,0.6666666666666666,2661,5322,3991.5,11974.5,0.2927483962957252,Low Risk
28,1,2,103,1,24,3,1,1,19,3,1,50,2,1,2,3,2,2028,12947,5,0,1,14,3,2,80,0,6,4,3,4,2,0,3,2,3,0,1,-858.0,0.6,2028,4056,3042.0,9126.0,0.8615187852771421,High Risk
29,0,2,1389,1,21,4,1,1,20,2,0,51,4,3,4,1,0,9980,10195,1,0,0,11,3,3,80,1,10,1,3,10,9,8,8,3,2,0,0,3533.0,0.7272727272727273,9980,19960,14970.0,44910.0,0.5983810808091217,Medium Risk
32,0,2,334,1,5,2,1,1,21,1,1,80,4,1,6,2,0,3298,15053,0,0,1,12,3,4,80,2,7,5,2,6,2,0,5,3,1,0,1,410.5,0.7142857142857143,3298,6596,4947.0,14841.0,0.2992328161350463,Low Risk
22,0,0,1123,1,16,2,3,1,22,4,1,96,4,1,2,4,0,2935,7324,1,0,1,13,3,2,80,2,1,2,2,1,0,0,0,0,3,1,1,49.0,0.0,2935,5870,4402.5,13207.5,0.5617047065547998,Medium Risk
53,0,2,1219,2,2,4,1,1,23,1,0,78,2,4,3,4,1,15427,22021,2,0,0,16,3,3,80,0,31,3,3,25,8,3,7,1,0,0,0,-2027.5,0.2692307692307692,15427,30854,23140.5,69421.5,0.021507364072742622,Low Risk
38,0,2,371,1,2,3,1,1,24,4,1,45,3,1,6,4,2,3944,4306,5,0,1,11,3,3,80,0,6,3,3,3,2,1,2,2,1,0,1,1056.5,0.5,3944,7888,5916.0,17748.0,0.6444404216296046,Medium Risk
24,0,0,673,1,11,2,4,1,26,1,0,96,4,2,4,3,0,4011,8232,0,0,0,18,3,4,80,1,5,5,2,4,2,1,3,2,1,0,0,-2436.0,0.6,4011,8022,6016.5,18049.5,0.25982629365729853,Low Risk
36,1,2,1218,2,9,4,1,1,27,3,1,82,2,1,8,1,2,3407,6986,7,0,0,23,4,2,80,0,10,4,3,5,3,0,3,2,1,0,0,828.0,0.5,3407,6814,5110.5,15331.5,0.6838286413457535,Medium Risk
34,0,2,419,1,7,4,1,1,28,1,0,53,3,3,5,2,2,11994,21293,0,0,0,11,3,3,80,0,13,4,3,12,6,2,11,1,0,0,0,-4516.0,0.8461538461538461,11994,23988,17991.0,53973.0,0.08680929991232544,Low Risk
21,0,2,391,1,15,2,1,1,30,3,1,96,3,1,6,4,2,1232,19281,1,0,0,14,3,4,80,0,0,6,3,0,0,0,0,4,3,1,0,-1655.5,0.0,1232,2464,1848.0,5544.0,0.6344277744074422,Medium Risk
34,1,2,699,1,6,1,3,1,31,2,1,83,3,1,6,1,2,2960,17102,2,0,0,11,3,3,80,0,8,2,3,4,2,1,3,2,3,0,0,72.5,0.6,2960,5920,4440.0,13320.0,0.5961054781136451,Medium Risk
53,0,2,1282,1,5,3,4,1,32,3,0,58,3,5,3,3,0,19094,10735,4,0,0,11,3,4,80,1,26,3,2,14,13,4,8,1,0,0,0,1639.5,0.5333333333333333,19094,38188,28641.0,85923.0,0.014525217759236122,Low Risk
32,1,1,1125,1,16,1,1,1,33,2,0,72,1,1,6,1,2,3919,4681,1,0,1,22,4,2,80,0,10,5,3,10,2,6,7,3,1,0,1,1031.5,0.6363636363636364,3919,7838,5878.5,17635.5,0.80748413433198,High Risk
42,0,2,691,2,8,4,2,1,35,3,1,48,3,2,7,2,1,6825,21173,0,0,0,11,3,4,80,1,10,2,3,9,7,4,2,3,2,0,0,594.0,0.2,6825,13650,10237.5,30712.5,0.3062678215839461,Low Risk
44,0,2,477,1,7,4,3,1,36,1,0,42,2,3,0,4,1,10248,2094,3,0,0,14,3,4,80,1,24,4,3,22,6,5,17,1,0,0,0,3437.0,0.7391304347826086,10248,20496,15372.0,46116.0,0.10740275350534376,Low Risk
46,0,2,705,2,2,4,2,1,38,2,0,83,3,5,3,1,2,18947,22822,3,0,0,12,3,4,80,0,22,2,2,2,2,2,1,0,0,0,0,1492.5,0.3333333333333333,18947,37894,28420.5,85261.5,0.1722083928185242,Low Risk
33,0,2,924,1,2,3,3,1,39,3,1,78,3,1,2,4,2,2496,6670,4,0,0,11,3,4,80,0,7,3,3,1,1,0,0,0,3,1,0,-390.0,0.0,2496,4992,3744.0,11232.0,0.48818665074436374,Medium Risk
44,0,2,1459,1,10,4,4,1,40,4,1,41,3,2,0,4,1,6465,19121,2,0,1,13,3,4,80,0,9,5,4,4,2,1,3,2,2,0,1,-346.0,0.6,6465,12930,9697.5,29092.5,0.10464319883975415,Low Risk
30,0,2,125,1,9,2,3,1,41,4,1,83,2,1,2,3,2,2206,16117,1,0,0,13,3,1,80,0,10,5,3,10,0,1,8,3,3,0,0,-680.0,0.7272727272727273,2206,4412,3309.0,9927.0,0.3645493568493048,Low Risk
39,1,2,895,2,5,3,5,1,42,4,1,56,3,2,8,4,1,2086,3335,3,0,0,14,3,3,80,1,19,6,4,1,0,0,0,0,3,1,0,-493.0,0.0,2086,4172,3129.0,9387.0,0.16811535530374247,Low Risk
24,1,2,813,1,1,3,3,1,45,2,1,61,3,1,6,4,1,2293,3020,2,0,1,16,3,1,80,1,6,2,2,2,0,2,0,0,3,0,1,-594.5,0.0,2293,4586,3439.5,10318.5,0.8203186267176495,High Risk
43,0,2,1273,1,2,2,3,1,46,4,0,72,4,1,6,3,0,2645,21923,1,0,0,12,3,4,80,2,6,3,2,5,3,1,4,2,3,0,0,-242.5,0.6666666666666666,2645,5290,3967.5,11902.5,0.08408706048642034,Low Risk
50,1,2,869,2,3,2,2,1,47,1,1,86,2,1,8,3,1,2683,3810,1,0,1,14,3,3,80,0,3,2,3,3,2,0,2,2,3,0,1,104.0,0.5,2683,5366,4024.5,12073.5,0.4241775557338941,Medium Risk
35,0,2,890,2,2,3,2,1,49,4,0,97,3,1,8,4,1,2014,9687,1,0,0,13,3,1,80,0,2,3,3,2,2,2,2,0,3,0,0,-565.0,0.6666666666666666,2014,4028,3021.0,9063.0,0.4329882167270263,Medium Risk
36,0,2,852,1,5,4,1,1,51,2,0,82,2,1,6,1,1,3419,13072,9,0,1,14,3,4,80,1,6,3,4,1,1,0,0,0,1,1,1,531.5,0.0,3419,6838,5128.5,15385.5,0.8777046066277508,High Risk
33,0,1,1141,2,1,3,1,1,52,3,0,42,4,2,7,1,1,5376,3193,2,0,0,19,3,1,80,2,10,3,3,5,3,1,3,2,1,0,0,-855.0,0.5,5376,10752,8064.0,24192.0,0.27338881521364305,Low Risk
35,0,2,464,1,4,2,4,1,53,3,1,75,3,1,2,4,0,1951,10910,1,0,0,12,3,3,80,1,1,3,3,1,0,0,0,0,3,1,0,-935.0,0.0,1951,3902,2926.5,8779.5,0.37793349001936605,Low Risk
27,0,2,1240,1,2,4,1,1,54,4,0,33,3,1,2,1,0,2341,19715,1,0,0,13,3,4,80,1,1,6,3,1,0,0,0,0,3,1,0,-545.0,0.0,2341,4682,3511.5,10534.5,0.4614679796085153,Medium Risk
26,1,2,1357,1,25,3,1,1,55,1,1,48,1,1,2,3,2,2293,10558,1,0,0,12,3,3,80,0,1,2,2,1,0,0,1,0,3,1,0,-593.0,0.5,2293,4586,3439.5,10318.5,0.8423587079795345,High Risk
27,0,1,994,2,8,3,1,1,56,4,1,37,3,3,7,3,2,8726,2975,1,0,0,15,3,4,80,0,9,0,3,9,8,1,7,3,2,0,0,2495.0,0.7,8726,17452,13089.0,39267.0,0.31597289647819204,Low Risk
30,0,1,721,1,1,2,3,1,57,3,0,58,3,2,2,4,2,4011,10781,1,0,0,23,4,4,80,0,12,2,3,12,8,3,7,1,1,0,0,1125.0,0.5384615384615384,4011,8022,6016.5,18049.5,0.24957903626575717,Low Risk
41,1,2,1360,1,12,3,5,1,58,2,0,49,3,5,5,3,1,19545,16280,1,0,0,12,3,4,80,0,23,0,3,22,15,15,8,1,0,0,0,3035.0,0.3478260869565217,19545,39090,29317.5,87952.5,0.4103323250555201,Medium Risk
34,0,0,1065,2,23,4,2,1,60,2,1,72,3,2,7,3,2,4568,10034,0,0,0,20,4,3,80,0,10,2,3,9,5,8,7,3,1,0,0,-1663.0,0.7,4568,9136,6852.0,20556.0,0.530884551799664,Medium Risk
37,0,2,408,1,19,2,1,1,61,2,1,73,3,1,6,2,1,3022,10227,4,0,0,21,4,1,80,0,8,1,3,1,0,0,0,0,1,1,0,134.5,0.0,3022,6044,4533.0,13599.0,0.7987258621118125,High Risk
46,0,1,1211,2,5,4,2,1,62,1,1,98,3,2,7,4,2,5772,20445,4,0,1,21,4,3,80,0,14,4,3,9,6,0,8,3,1,0,1,-459.0,0.8,5772,11544,8658.0,25974.0,0.11471802653021689,Low Risk
35,0,2,1229,1,8,1,1,1,63,4,1,36,4,1,2,4,1,2269,4892,1,0,0,19,3,4,80,0,1,2,3,1,0,0,1,0,3,1,0,-617.0,0.5,2269,4538,3403.5,10210.5,0.34969964824916366,Low Risk
48,1,2,626,1,1,2,1,1,64,1,1,98,2,3,2,3,2,5381,19294,9,0,1,13,3,4,80,0,23,2,3,1,0,0,0,0,1,1,1,2495.0,0.0,5381,10762,8071.5,24214.5,0.6389371251848425,Medium Risk
28,1,2,1434,1,5,4,5,1,65,3,1,50,3,1,2,3,2,3441,11179,1,0,1,13,3,3,80,0,2,3,2,2,2,2,2,0,1,0,1,555.0,0.6666666666666666,3441,6882,5161.5,15484.5,0.6211451380799613,Medium Risk
44,0,2,1488,2,1,5,2,1,68,2,0,75,3,2,7,1,0,5454,4009,5,0,1,21,4,3,80,1,9,2,2,4,3,1,3,2,1,0,1,-777.0,0.6,5454,10908,8181.0,24543.0,0.3672956177585092,Low Risk
35,0,0,1097,1,11,2,3,1,70,3,1,79,2,3,0,1,1,9884,8302,2,0,1,13,3,3,80,1,10,3,3,4,0,2,3,2,2,0,1,3073.0,0.6,9884,19768,14826.0,44478.0,0.5219814653520193,Medium Risk
26,0,2,1443,2,23,3,2,1,72,3,0,47,2,2,7,4,1,4157,21436,7,0,1,19,3,3,80,1,5,2,2,2,2,0,0,0,1,0,1,-2074.0,0.0,4157,8314,6235.5,18706.5,0.8343798971544584,High Risk
33,0,1,515,1,1,2,1,1,73,1,0,98,3,3,5,4,2,13458,15146,1,0,1,12,3,3,80,0,15,1,3,15,14,8,12,1,0,0,1,-3052.0,0.75,13458,26916,20187.0,60561.0,0.15614623898587068,Low Risk
35,0,1,853,2,18,5,1,1,74,2,1,71,3,3,7,1,1,9069,11031,1,0,0,22,4,4,80,1,9,3,2,9,8,1,8,3,2,0,0,2838.0,0.8,9069,18138,13603.5,40810.5,0.29459403486088953,Low Risk
35,0,2,1142,1,23,4,3,1,75,3,0,30,3,1,2,1,1,4014,16002,3,0,1,15,3,3,80,1,4,3,3,2,2,2,2,0,1,0,1,1128.0,0.6666666666666666,4014,8028,6021.0,18063.0,0.7509612254987624,High Risk
31,0,2,655,1,7,4,1,1,76,4,1,48,3,2,2,4,0,5915,9528,3,0,0,22,4,4,80,1,10,3,2,7,7,1,7,3,1,0,0,3029.0,0.875,5915,11830,8872.5,26617.5,0.18277970730981205,Low Risk
37,0,2,1115,1,1,4,1,1,77,1,1,51,2,2,4,3,0,5993,2689,1,0,0,18,3,3,80,1,7,2,4,7,5,0,7,3,1,0,0,-454.0,0.875,5993,11986,8989.5,26968.5,0.10910737250377454,Low Risk
32,0,2,427,1,1,3,3,1,78,1,1,33,3,2,4,4,1,6162,10877,1,0,1,22,4,2,80,1,9,3,3,9,8,7,8,3,2,0,1,-285.0,0.8,6162,12324,9243.0,27729.0,0.5213507139960973,Medium Risk
38,0,1,653,1,29,5,1,1,79,4,0,50,3,2,2,4,2,2406,5456,1,0,0,11,3,4,80,0,10,2,3,10,3,9,9,3,3,0,0,-480.0,0.8181818181818182,2406,4812,3609.0,10827.0,0.5726446883743584,Medium Risk
50,0,2,989,1,7,2,3,1,80,2,0,43,2,5,5,3,0,18740,16701,5,0,1,12,3,4,80,1,29,2,2,27,3,13,8,1,0,0,1,2230.0,0.2857142857142857,18740,37480,28110.0,84330.0,0.6642903505009642,Medium Risk
59,0,2,1435,2,25,3,1,1,81,1,0,99,3,3,7,1,2,7637,2354,7,0,0,11,3,4,80,0,28,3,2,21,16,7,9,1,2,0,0,1406.0,0.4090909090909091,7637,15274,11455.5,34366.5,0.2824516624601593,Low Risk
36,0,2,1223,1,8,3,5,1,83,3,0,59,3,3,0,3,0,10096,8202,1,0,0,13,3,2,80,3,17,2,3,17,14,12,8,1,0,0,0,3285.0,0.4444444444444444,10096,20192,15144.0,45432.0,0.24221013521629806,Low Risk
55,0,2,836,1,8,3,3,1,84,4,0,33,3,4,3,3,0,14756,19730,2,0,1,14,3,3,80,3,21,2,3,5,0,0,2,2,0,0,1,-2698.5,0.3333333333333333,14756,29512,22134.0,66402.0,0.01645004706677243,Low Risk
36,0,1,1195,1,11,3,1,1,85,2,1,95,2,2,4,2,2,6499,22656,1,0,0,13,3,3,80,0,6,3,3,6,5,0,3,3,2,0,0,52.0,0.4285714285714285,6499,12998,9748.5,29245.5,0.28043236924529064,Low Risk
45,0,2,1339,1,7,3,1,1,86,2,1,59,3,3,6,1,0,9724,18787,2,0,0,17,3,3,80,1,25,2,3,1,0,0,0,0,2,1,0,6836.5,0.0,9724,19448,14586.0,43758.0,0.28159502213972115,Low Risk
35,0,1,664,1,1,3,3,1,88,2,1,79,3,1,6,1,1,2194,5868,4,0,0,13,3,4,80,1,5,2,2,3,2,1,2,2,3,0,0,-693.5,0.5,2194,4388,3291.0,9873.0,0.6272325117164846,Medium Risk
36,1,2,318,1,9,3,3,1,90,4,1,79,2,1,6,3,1,3388,21777,0,0,1,17,3,1,80,1,2,0,2,1,0,0,0,0,1,1,1,500.5,0.0,3388,6776,5082.0,15246.0,0.6485606676842376,Medium Risk
59,0,1,1225,2,1,1,1,1,91,1,0,57,2,2,7,3,2,5473,24668,7,0,0,11,3,4,80,0,20,2,2,4,3,1,3,2,1,0,0,-758.0,0.6,5473,10946,8209.5,24628.5,0.19606237069598384,Low Risk
29,0,2,1328,1,2,3,1,1,94,3,1,76,3,1,6,2,1,2703,4956,0,0,0,23,4,4,80,1,6,3,3,5,4,0,4,2,3,0,0,-184.5,0.6666666666666666,2703,5406,4054.5,12163.5,0.20962583872567037,Low Risk
31,0,2,1082,1,1,4,3,1,95,3,1,87,3,1,6,2,2,2501,18775,1,0,0,17,3,2,80,0,1,4,3,1,1,1,0,0,3,1,0,-386.5,0.0,2501,5002,3751.5,11254.5,0.625759585075326,Medium Risk
32,0,2,548,1,1,3,1,1,96,2,1,66,3,2,6,2,1,6220,7346,1,0,0,17,3,2,80,2,10,3,3,10,4,0,9,3,2,0,0,3332.5,0.8181818181818182,6220,12440,9330.0,27990.0,0.2553111595156854,Low Risk
36,0,2,132,1,6,3,1,1,97,2,0,55,4,1,2,4,1,3038,22002,3,0,0,12,3,2,80,0,5,3,3,1,0,0,0,0,1,1,0,152.0,0.0,3038,6076,4557.0,13671.0,0.6018853246240752,Medium Risk
31,0,2,746,1,8,4,1,1,98,3,0,61,3,2,4,4,2,4424,20682,1,0,0,23,4,4,80,0,11,2,3,11,7,1,8,1,1,0,0,-2023.0,0.6666666666666666,4424,8848,6636.0,19908.0,0.13714066209529885,Low Risk
35,0,2,776,2,1,4,2,1,100,3,1,32,2,2,7,1,2,4312,23016,0,0,0,14,3,2,80,0,16,2,3,15,13,2,8,1,1,0,0,-1919.0,0.5,4312,8624,6468.0,19404.0,0.1516674522247515,Low Risk
45,0,2,193,1,6,4,4,1,101,4,1,52,3,3,5,1,1,13245,15067,4,0,1,14,3,2,80,0,17,3,4,0,0,0,0,4,0,1,1,-3265.0,0.0,13245,26490,19867.5,59602.5,0.15698448756624087,Low Risk
37,0,2,397,1,7,4,3,1,102,1,1,30,3,3,5,3,2,13664,25258,4,0,0,13,3,1,80,0,16,3,4,5,2,0,2,2,0,0,0,-2846.0,0.3333333333333333,13664,27328,20496.0,61488.0,0.26951081448660685,Low Risk
46,0,2,945,0,5,2,3,1,103,2,1,80,3,2,1,2,0,5021,10425,8,0,1,22,4,4,80,1,16,2,3,4,2,0,2,2,1,0,1,1928.0,0.4,5021,10042,7531.5,22594.5,0.39428598472591264,Low Risk
30,0,2,852,1,1,1,1,1,104,4,1,55,2,2,2,4,1,5126,15998,1,0,1,12,3,3,80,2,10,1,2,10,8,3,0,3,1,0,1,2240.0,0.0,5126,10252,7689.0,23067.0,0.4514504947332895,Medium Risk
35,0,2,1214,1,1,3,3,1,105,2,1,30,2,1,6,3,2,2859,26278,1,0,0,18,3,1,80,0,6,3,3,6,4,0,4,3,3,0,0,-28.5,0.5714285714285714,2859,5718,4288.5,12865.5,0.38275564786876676,Low Risk
55,0,2,111,2,1,2,1,1,106,1,1,70,3,3,7,4,1,10239,18092,3,0,0,14,3,4,80,1,24,4,3,1,0,1,0,0,0,1,0,4008.0,0.0,10239,20478,15358.5,46075.5,0.17863713951509896,Low Risk
38,0,0,573,1,6,3,3,1,107,2,0,79,1,2,6,4,0,5329,15717,7,0,1,12,3,4,80,3,17,3,3,13,11,1,9,1,1,0,1,2441.5,0.6428571428571429,5329,10658,7993.5,23980.5,0.23793959364604417,Low Risk
34,0,2,1153,1,1,2,3,1,110,1,1,94,3,2,4,2,1,4325,17736,1,0,0,15,3,3,80,0,5,2,3,5,2,1,3,2,1,0,0,-2122.0,0.5,4325,8650,6487.5,19462.5,0.3027144303746353,Low Risk
56,0,2,1400,1,7,3,1,1,112,4,1,49,1,3,4,4,2,7260,21698,4,0,0,11,3,1,80,0,37,3,2,6,4,0,2,3,2,0,0,813.0,0.2857142857142857,7260,14520,10890.0,32670.0,0.02770571023462874,Low Risk
23,0,2,541,2,2,1,5,1,113,3,1,62,3,1,8,1,0,2322,9518,3,0,0,13,3,3,80,1,3,3,3,0,0,0,0,4,3,1,0,-257.0,0.0,2322,4644,3483.0,10449.0,0.7460683043997666,High Risk
51,0,2,432,1,9,4,1,1,116,4,1,96,3,1,2,4,1,2075,18725,3,0,0,23,4,2,80,2,10,4,3,4,2,0,3,2,3,0,0,-811.0,0.6,2075,4150,3112.5,9337.5,0.08710655747050162,Low Risk
30,0,2,288,1,2,3,1,1,117,3,1,99,2,2,0,4,1,4152,15830,1,0,0,19,3,1,80,3,11,3,3,11,10,10,8,1,1,0,0,-2659.0,0.6666666666666666,4152,8304,6228.0,18684.0,0.2746143897004898,Low Risk
46,1,2,669,2,9,2,3,1,118,3,1,64,2,3,7,4,2,9619,13596,1,0,0,16,3,4,80,0,9,3,3,9,8,4,7,3,2,0,0,3388.0,0.7,9619,19238,14428.5,43285.5,0.24115954110946278,Low Risk
40,0,1,530,1,1,4,1,1,119,3,1,78,2,4,0,2,1,13503,14115,1,0,0,22,4,4,80,1,22,3,2,22,3,11,11,1,0,0,0,6692.0,0.4782608695652174,13503,27006,20254.5,60763.5,0.55346946146588,Medium Risk
51,0,2,632,2,21,4,2,1,120,3,1,71,3,2,7,4,2,5441,8423,0,0,1,22,4,4,80,0,11,2,1,10,7,1,0,3,1,0,1,-790.0,0.0,5441,10882,8161.5,24484.5,0.23052968022712364,Low Risk
30,0,2,1334,2,4,2,3,1,121,3,0,63,2,2,7,2,0,5209,19760,1,0,1,12,3,2,80,3,11,4,2,11,8,2,7,1,1,0,1,-1022.0,0.5833333333333334,5209,10418,7813.5,23440.5,0.17720541125311962,Low Risk
46,0,1,638,1,1,3,3,1,124,3,1,40,2,3,0,1,1,10673,3142,2,0,1,13,3,3,80,1,21,5,2,10,9,9,5,3,0,0,1,3862.0,0.4545454545454545,10673,21346,16009.5,48028.5,0.3589877858703632,Low Risk
32,0,2,1093,2,6,4,3,1,125,2,1,87,3,2,7,3,2,5010,24301,1,0,0,16,3,1,80,0,12,0,3,11,8,5,7,1,1,0,0,-1221.0,0.5833333333333334,5010,10020,7515.0,22545.0,0.39603664735976124,Low Risk
54,0,2,1217,1,2,4,5,1,126,1,0,60,3,3,5,3,1,13549,24001,9,0,0,12,3,1,80,1,16,5,1,4,3,0,3,2,0,0,0,-2961.0,0.6,13549,27098,20323.5,60970.5,0.10927013764342157,Low Risk
24,0,2,1353,2,3,2,4,1,128,1,0,33,3,2,7,3,1,4999,17519,0,0,0,21,4,1,80,1,4,2,2,3,2,0,2,2,1,0,0,-1232.0,0.5,4999,9998,7498.5,22495.5,0.47176743317015835,Medium Risk
28,0,0,120,2,4,3,3,1,129,2,1,43,3,2,7,3,1,4221,8863,1,0,0,15,3,2,80,0,5,3,4,5,4,0,4,2,1,0,0,-2010.0,0.6666666666666666,4221,8442,6331.5,18994.5,0.39975191433744717,Low Risk
58,0,2,682,2,10,4,3,1,131,4,1,37,3,4,7,3,2,13872,24409,0,0,0,13,3,3,80,0,38,1,2,37,10,1,8,1,0,0,0,7641.0,0.2105263157894736,13872,27744,20808.0,62424.0,0.05813658899473028,Low Risk
44,0,0,489,1,23,3,3,1,132,2,1,67,3,2,2,2,1,2042,25043,4,0,0,12,3,3,80,1,17,3,4,3,2,1,2,2,3,0,0,-844.0,0.5,2042,4084,3063.0,9189.0,0.3246364407430728,Low Risk
37,1,2,807,0,6,4,0,1,133,3,1,63,3,1,1,1,0,2073,23648,4,0,1,22,4,4,80,0,7,3,3,3,2,0,2,2,3,0,1,-1020.0,0.5,2073,4146,3109.5,9328.5,0.4886143140538022,Medium Risk
32,0,2,827,1,1,1,1,1,134,4,1,71,3,1,6,1,2,2956,15178,1,0,0,13,3,4,80,0,1,2,3,1,0,0,0,0,3,1,0,68.5,0.0,2956,5912,4434.0,13302.0,0.6551110245601403,Medium Risk
20,1,1,871,1,6,3,1,1,137,4,0,66,2,1,2,4,2,2926,19783,1,0,1,18,3,2,80,0,1,5,3,1,0,1,0,0,3,1,1,40.0,0.0,2926,5852,4389.0,13167.0,0.7876782391031113,High Risk
34,0,2,665,1,6,4,4,1,138,1,0,41,3,2,6,3,2,4809,12482,1,0,0,14,3,3,80,0,16,3,3,16,13,2,10,1,1,0,0,1921.5,0.5882352941176471,4809,9618,7213.5,21640.5,0.21131203389634454,Low Risk
37,0,0,1040,1,2,2,1,1,139,3,1,100,2,2,0,4,0,5163,15850,5,0,0,14,3,4,80,1,17,2,4,1,0,0,0,0,1,1,0,-1648.0,0.0,5163,10326,7744.5,23233.5,0.13809268246615974,Low Risk
59,0,0,1420,0,2,4,0,1,140,3,0,32,2,5,3,4,1,18844,21922,9,0,0,21,4,4,80,1,30,3,3,3,2,2,2,2,0,0,0,1389.5,0.5,18844,37688,28266.0,84798.0,0.04246183432085233,Low Risk
50,0,1,1115,1,1,3,1,1,141,1,0,73,3,5,5,2,1,18172,9755,3,0,1,19,3,1,80,0,28,1,2,8,3,0,7,3,0,0,1,1662.0,0.7777777777777778,18172,36344,27258.0,81774.0,0.052480243038124846,Low Risk
25,1,2,240,2,5,3,2,1,142,3,1,46,2,2,7,3,2,5744,26959,1,0,1,11,3,4,80,0,6,1,3,6,4,0,3,3,1,0,1,-487.0,0.4285714285714285,5744,11488,8616.0,25848.0,0.6244180121665998,Medium Risk
